ispit,crosscul,egy_fe_fam_ll,egy_fe_fam_OR,egy_fe_fam_RR,egy_fe_unfam_LL,egy_fe_unfam_OR,egy_fe_unfam_RR,egy_m_fam_ll,egy_m_fam_OR,egy_m_fam_RR,egy_m_unfam_LL,egy_m_unfam_OR,egy_m_unfam_RR,srb_fe_fam_LL,srb_fe_fam_OR,srb_fe_fam_RR,srb_fe_unfam_LL,srb_fe_unfam_OR,srb_fe_unfam_RR,srb_m_fam_LL,srb_m_fam_OR,srb_m_fam_RR,srb_m_unfam_LL,srb_m_unfam_OR,srb_m_unfam_RR
107,egy,3.166666667,3.166666667,3.333333333,3.5,3.5,3.5,3,3.166666667,3.666666667,3.333333333,3.333333333,3.5,3.666666667,3.166666667,3.166666667,3.166666667,3.5,3.666666667,3.333333333,3.333333333,3.166666667,3.333333333,3.166666667,3.333333333
108,egy,2.833333333,3.5,3.5,3.666666667,3.333333333,3.666666667,3.166666667,3.5,3.666666667,3.166666667,4,3.5,4,2.833333333,3.666666667,3.833333333,3.5,4.5,3.5,2.5,3.333333333,3.833333333,3.166666667,3.666666667
109,egy,3.5,3.166666667,3,3.333333333,2.666666667,3.666666667,4.166666667,3.166666667,3,3,3,3,3.5,3.333333333,2.666666667,3.666666667,2.666666667,3.166666667,3.333333333,3.333333333,3.333333333,3.333333333,2.833333333,2.833333333
110,egy,3.166666667,4.166666667,3.5,3.333333333,3.5,3.166666667,3.666666667,4,3.833333333,3.666666667,3,3.5,3.666666667,3.333333333,3.333333333,3.166666667,3.333333333,3.666666667,3.666666667,3.833333333,3.833333333,3.333333333,3,3.833333333
111,egy,3.166666667,3,3.166666667,3,3.666666667,3.5,2.333333333,3.333333333,4,3.666666667,3.5,4.166666667,3.666666667,3.5,2.833333333,3.333333333,3.166666667,3.166666667,3.166666667,3.333333333,3.5,3.833333333,3.666666667,3.833333333
112,egy,4,4.166666667,4.166666667,3.666666667,3.5,2.666666667,3.833333333,3.333333333,3.5,2.666666667,3.666666667,3.666666667,3,3.333333333,3.666666667,4.166666667,4.166666667,3.5,4.333333333,3.166666667,3.5,3.333333333,3.333333333,4.166666667
113,egy,1.5,2,2.166666667,2.5,4.333333333,2.666666667,1.166666667,1.833333333,1.5,1.333333333,2.333333333,2.5,2,3.333333333,2.333333333,1.5,1.833333333,1.333333333,1.5,2.166666667,2.166666667,1.833333333,1.333333333,1.5
114,egy,3.833333333,4,3.833333333,3.666666667,4.333333333,4.166666667,3.833333333,3.833333333,3.833333333,4,3.833333333,2.833333333,3.833333333,3.666666667,3.333333333,3.833333333,3.833333333,3.5,3.333333333,3,4,3.833333333,3.666666667,4.333333333
115,egy,3.666666667,3.666666667,3.333333333,3.833333333,3.5,4,3.833333333,3.5,3.666666667,3,3.666666667,3.333333333,4.166666667,3.666666667,3,3.666666667,3.166666667,3.333333333,3.666666667,3.5,3.5,3,3.666666667,4
116,egy,3.5,3.333333333,3.166666667,3.166666667,3.333333333,4.166666667,3.833333333,3,3.333333333,3.333333333,3.666666667,3.333333333,3.833333333,3,3.833333333,3.333333333,3.5,3.333333333,3.333333333,3,3.833333333,3,3,3.166666667
117,egy,2.5,2.5,2.333333333,2.833333333,2.666666667,1.666666667,1.5,1.5,1.833333333,1.666666667,1.833333333,1.5,1.833333333,2.166666667,2.166666667,2,2,1.833333333,1.5,1.833333333,1.333333333,1.5,1.333333333,1.666666667
118,egy,2.666666667,3.666666667,3.333333333,3.666666667,4.333333333,3.666666667,2.666666667,3.666666667,2.833333333,3.333333333,3.5,3,3,3.833333333,2.833333333,3.666666667,3.166666667,2.833333333,4.166666667,3.166666667,3.166666667,3,2.5,2.833333333
119,egy,3.333333333,3,4,2.833333333,3.5,3.166666667,3.333333333,3.666666667,3.5,3.166666667,3.833333333,3.666666667,3.5,3.333333333,3,3.333333333,3.5,3,3,3.666666667,3.166666667,3.166666667,2.833333333,3.5
120,egy,3.5,3.833333333,3.333333333,3.833333333,3.333333333,3.666666667,2.666666667,3.666666667,2.5,3.333333333,3.333333333,3.666666667,3.833333333,4.5,3.166666667,3.166666667,3.666666667,2.666666667,2.5,3.833333333,2.833333333,3.5,2.833333333,3.333333333
121,egy,4.166666667,3.666666667,3.833333333,4.333333333,3.666666667,3.5,4.166666667,4,3.666666667,3.833333333,3.166666667,4,4.333333333,4.166666667,4.166666667,3.333333333,4.166666667,3.666666667,3.166666667,4,3,3.166666667,4.333333333,3.666666667
122,egy,4.166666667,3.666666667,3.833333333,4.333333333,3.666666667,3.5,4.166666667,4,3.666666667,3.833333333,3.166666667,4,4.333333333,4.166666667,4.166666667,3.333333333,4.166666667,3.666666667,3.166666667,4,3,3.166666667,4.333333333,3.666666667
123,egy,4.166666667,3.166666667,3.166666667,3.333333333,3,3.5,3.5,2.833333333,2.833333333,2.833333333,2.5,3.166666667,3,3.166666667,3.333333333,3.333333333,2.666666667,2.833333333,2.666666667,2.666666667,2.333333333,2.333333333,2.5,3.333333333
124,egy,3.666666667,2.833333333,3.833333333,3.166666667,3.333333333,3.666666667,3.5,3.166666667,4.166666667,3.166666667,4.166666667,3.333333333,3.833333333,3.833333333,3.5,3.5,3,3.333333333,4,3.5,3.5,3.666666667,3.833333333,4.333333333
125,egy,3.666666667,3.5,3.166666667,3.5,2.666666667,3,3,2.833333333,2.833333333,3.666666667,3.833333333,4,3.5,3.166666667,3,3.5,3,3.833333333,3.333333333,2.333333333,3.666666667,3.5,3.5,3.5
126,egy,3.333333333,3.5,4.166666667,3.166666667,3.666666667,4,3.333333333,3.666666667,2.5,3.666666667,3.333333333,3.5,4.333333333,3.166666667,2.833333333,3.5,3.333333333,3.5,3.833333333,3.333333333,2.5,3.833333333,3,4.166666667
127,egy,2.666666667,2.833333333,2.333333333,2.333333333,3.166666667,2.833333333,1.833333333,3,2.666666667,3.166666667,3,2.666666667,2.833333333,3.5,2.833333333,2.666666667,3,2.333333333,3,2.833333333,2.666666667,2.333333333,3,2.666666667
128,egy,3,2.833333333,2.666666667,2.666666667,2.666666667,2.666666667,2.5,2.166666667,2.666666667,2.166666667,2,2,2.5,2.666666667,2.333333333,2.666666667,3,2.666666667,2,2.166666667,2.166666667,2,1.833333333,1.666666667
129,egy,2.666666667,2.666666667,2.5,2.5,2.5,2.5,2.166666667,2.5,2.166666667,2,2.166666667,2,2.5,2.333333333,2.5,2.5,2.5,2.5,2,2,2,2,1.666666667,1.833333333
130,egy,2.666666667,2.5,3,2.666666667,2.5,2.833333333,2.166666667,2.666666667,2.333333333,2.333333333,2.5,2.166666667,2.833333333,2.833333333,2.666666667,2.5,3,2.5,2.5,2.166666667,2.166666667,2.333333333,2.333333333,2.166666667
131,egy,3.666666667,3.666666667,4,3,3.833333333,3.166666667,3.333333333,3.833333333,3.166666667,4,4.666666667,3.5,3.166666667,2.833333333,3.666666667,3,3.666666667,4.666666667,3.333333333,4.166666667,3.166666667,3.333333333,3.666666667,3.5
132,egy,3,2.5,4,3.333333333,3,4,3.666666667,3.166666667,2.833333333,3.5,3.5,4.166666667,3.5,3.833333333,3,3.833333333,3.5,3,3.5,3.333333333,3.5,3.5,2.833333333,3.666666667
133,egy,3.5,3.166666667,3.166666667,3.333333333,2.833333333,3.333333333,3.333333333,3.166666667,3,3.833333333,3.666666667,3,2.666666667,4.166666667,3.333333333,3.666666667,2.666666667,3.666666667,3.5,3.333333333,3.5,3.5,3,3.333333333
